index,channel,min,max,mean,std
0,B2_1,-2.1421289443969727,1.4828343391418457,-0.8898726105690002,0.31229719519615173
1,B3,-2.2704427242279053,1.6221585273742676,-0.39339888095855713,0.38374313712120056
2,NBR_1,-1.3652093410491943,1.6088038682937622,0.5667958855628967,0.2686445415019989
3,B12,-1.4115463495254517,0.5169411301612854,-0.5706754326820374,0.18937191367149353
4,B11,-2.2109172344207764,0.7910637855529785,-0.5772783160209656,0.3032365143299103
5,NBR,-1.281815528869629,1.7448844909667969,0.510701060295105,0.3076431453227997
6,B3_1,-2.4594223499298096,1.2479859590530396,-0.7430868744850159,0.37970566749572754
7,NDVI_1,-1.3776679039001465,1.1113730669021606,0.4967363774776459,0.21772314608097076
8,NDVI,-2.59554123878479,1.1348663568496704,0.2194167524576187,0.30292367935180664
9,B12_1,-1.3382349014282227,0.13214386999607086,-0.5798072218894958,0.16986776888370514
10,dNBR,-3.0622687339782715,2.8423290252685547,0.3159914016723633,0.469207227230072
11,dNDVI,-2.816460609436035,4.679135799407959,0.6795968413352966,0.5269563794136047
12,B4_1,-1.3252300024032593,1.1628819704055786,-0.5245894193649292,0.20170152187347412
13,B11_1,-1.9321914911270142,0.6174935698509216,-0.6252026557922363,0.2677083909511566
14,B8_1,-4.041141033172607,3.3298850059509277,-0.13451598584651947,0.7693460583686829
15,B2,-1.5220149755477905,2.3340530395507812,-0.20084960758686066,0.43044838309288025
16,B4,-1.1779465675354004,1.9636332988739014,-0.29194584488868713,0.24968986213207245
17,B8,-3.5418825149536133,3.2926244735717773,-0.24456697702407837,0.7457359433174133
